Year,KK_Title,KK_Text
1884,Қандай қызда ләззат бар жан татпаған?,"Қандай қызда ләззат бар жан татпаған? \nСұлуы бұл заманның тек жатпаған.\nОн сегіз, он тоғызға келгеннен соң, \nАлмасы өкпе болар қол батпаған. \nБұлардың кейбірінің мінездері,\nЕш нәрсе көрмегенсіп бұртақтаған. \nКейбірі жайдары, ашық боламын деп, \nОрынсыз адамдармен жыртақтаған.\nӘуелде сұлу жайы бізге мәлім,\nЖігітті жұрт мақтаған қыз жақтаған.\nКей жігіт мақтан үшін қылық қылмай, \nБойына майдалықпен сыр сақтаған.\nКей жігіт арсыздықпен ұятсынбай,\nҚолы жетпес нәрсеге тыртақтаған.\nОрынды іске жүріп, ой таппаған,\nНе болмаса жұмыс қып, мал бақпаған.\nҚасиетті болмайды ондай жігіт \nӘншейін құр бекерге бұлғақтаған."
1885,Жасымда ғылым бар деп ескермедім,"Жасымда ғылым бар деп ескермедім,\nПайдасын көре тұра тексермедім.\nЕржеткен соң түспеді уысыма,\nҚолымды мезгілінен кеш сермедім.\nБұл мақрұмқалмағыма кім жазалы, \nҚолымды дөп сермесем, өстер ме едім? \nАдамның бір қызығы — бала деген, \nБаланы оқытуды жек көрмедім.\nБаламды медресеге біл деп бердім,\nҚызмет қылсын, шен алсын деп бермедім.\n\nӨзім де басқа шауып, төске өрледім, \nҚазақта қара сөзге дес бермедім. \nЕңбегіңді білерлік еш адам жоқ,\nТүбінде тыныш жүргенді теріс көрмедім."
1886,"Адасқанның алды — жөн, арты — соқпақ","Адасқанның алды — жөн, арты — соқпақ,\nОларға жөн — арамның сөзін ұқпақ.\nҚас маңғаз, малға бөккен кісімсініп,\nӘсте жоқ кеселді істен биттей қорықпақ.\n\nБір аршопкешапаны сондай шап-шақ, \nМүшесінен буынып, басады алшақ.\nҚарсы алдына жымырып келтірем деп,\nАқ тымақтың құлағы салтақ-салтақ.\n\nЖаздыгүні ақ бөркі бүктелмейді, \nҚолында бір сабауы бар, о дағы аппақ. \nКерегеге сабауды шаншып қойып,\nБөркін іліп, қарайды жалтақ-жалтақ.\n\nТірі жанға құрбы боп жап-жасында-ақ, \nҚалжыңдамақ, қасынбақ, ыржаңдамақ. \nБет-аузын сөз сөйлерде жүз құбылтып, \nҚас кермек, мойын бұрмақ, қоразданбақ.\n\nОсындай сидаң жігіт елде мол-ақ,\nБәрі де шаруаға келеді олақ.\nСырын түзер біреу жоқ, сыртын түзеп, \nБар өнері — қу борбай, сымпыс шолақ.\n\nОлардың жоқ ойында малын бақпақ,\nАдал еңбек, мал таппақ, жұртқа жақпақ. \nЖалғыз атын терлетіп, ел қыдырып, \nСәлемдеспей, алыстан ыржаң қақпақ."
1886,"Базарға, қарап тұрсам, әркім барар","Базарға, қарап тұрсам, әркім барар,\nІздегені не болса, сол табылар.\nБіреу астық алады, біреу — маржан, \nӘркімге бірдей нәрсе бермес базар. \nӘркімнің өзі іздеген нәрсесі бар,\nСомалап ақшасына сонан алар.\nБіреу ұқпас, бұл сөзді біреу ұғар,\nБағасын пайым қылмай аң-таң қалар.\nСөзді ұғар осы күнде кісі бар ма? \nДемеймін жалпақ жұртқа бірдей жағар. \nЖазған соң жерде қалмас тесік моншақ,\nБіреуден біреу алып, елге тарар.\nБір кісі емес, жазғаным жалпақ жұрт қой, \nШамданбай-ақ, шырақтар, ұқсаң жарар. \n«Ит маржанды не қылсын» деген сөз бар, \nСәулесі бар жігіттер бір ойланар."
1886,Байлар жүр жиған малын қорғалатып,"Байлар жүр жиған малын қорғалатып,\nӨз жүзін, онын беріп, алар сатып,\nОнын алып, тоқсаннан дәме қылып,\nБұл жұртты қойған жоқ па құдай атып? \nБарып келсе Ертістің суын татып,\nБеріп келсе бір арыз бұтып-шатып.\nЕлді алып, Еділді алып есіреді,\nІсіп-кеуіп, қабарып келе жатып.\nӘрі-бері айналса аты арықтап,\nШығынға белшесінен әбден батып. \nСұм-сұрқия, қу, білгіш атанбаққа \nҚұдай құмар қылыпты қалжыратып. \nҚорғаласа, қорықты деп қоймаған соң, \nШаптырады қалаға бай да андатып.\nКүшті жықпақ, бай жеңбек әуел бастан, \nҚолға түсер сілесі әбден қатып.\nЖаны аяулы жақсыға қосамын деп,\nӘркім бір ит сақтап жүр ырылдатып."
1886,Бір дәурен кемді күнге — бозбалалық,"Бір дәурен кемді күнге — бозбалалық,\nҚартаймастай көрмелік, ойланалық. \nЖастықта көкірек зор, уайым жоқ,\nДейміз бе еш нәрседен құр қалалық.\n\nБар ойы — өлең айтып, ән салалық,\nБіреуді қалжың қылып қолға алалық.\nҚызды ауылға қырындап үйір болса \nКөңіліне зор қуаныш бір бадалық .\n\nДемеңдер ойнас іске жұбаналық,\nАқыл тапсақ, мал тапсақ, қуаналық.\nҚызды сүйсең, бірді-ақ сүй, таңдап тауып, \nКөрсеқызар, күнде асық — диуаналық.\n\nЖастықта бір күлгенің — бір қаралық, \nКүлкі баққан бір көрер бишаралық.\nӘуелі өнер ізделік, қолдан келсе,\nЕң болмаса еңбекпен мал табалық.\n\nТой болса, тон киелік, жүр, баралық, \nБірімізді біріміз аударалық.\nАт арықтар, тон тозар, қадір кетер, \nКүлкіні онша күйлеп, шуламалық.\n\nУайым — ер қорғаны, есі барлық, \nҚиыны бұл дүниенің — қолы тарлық. \n«Еһе-еһеге» елірме, бозбалалар,\nБұл бес күндік бір майдан ер сынарлық.\n\nСалынба, қылсаң дағы сан құмарлық, \nАлдыңда уайым көп шошынарлық: \nЖарлылық, жалынышты жалтаң көздік, \nСүйкімі, икемі жоқ шалдуарлық.\n\nӘсем салдық өлгенше кім қыларлық, \nОған да мезгіл болар тоқталарлық.\nҰрлық қылар, тентіреп тамақ асырар,\nЖұмыс қып болмаған соң мал табарлық.\n\nБасында әке айтпаса ақыл жарлық, \nАғайын табылмаса ой саларлық, \nҚалжыңбассып өткізген қайран дәурен, \nТүбінде тартқызбай ма ол бір зарлық?\n\nОсы елде бозбала жоқ сөзді ұғарлық, \nЖақсы айғырда бие жоқ ат туарлық.\nӘйтеуір ақсақалдар айтпады деп \nЖүрмесін деп, азғана сөз шығардық."
1886,Ғылым таппай мақтанба,"Ғылым таппай мақтанба,\nОрын таппай баптанба, \nҚұмарланып шаттанба,\nОйнап босқа күлуге.\nБес нәрседен қашық бол,\nБес нәрсеге асық бол,\nАдам болам десеңіз.\nТілеуің, өмірің алдыңда,\nОған қайғы жесеңіз.\nӨсек, өтірік, мақтаншақ, \nЕріншек, бекер мал шашпақ –\nБес дұшпаның, білсеңіз.\nТалап, еңбек, терең ой,\nҚанағат, рақым, ойлап қой — \nБес асыл іс, көнсеңіз. \nЖамандық көрсең нәфрәтлі , \nСуытып көңіл тыйсаңыз. \nЖақсылық көрсең ғибрәтлі , \nОны ойға жисаңыз.\nҒалым болмай немене,\nБалалықты қисаңыз.\nБолмасаң да ұқсап бақ,\nБір ғалымды көрсеңіз.\nОндай болмақ қайда деп,\nАйтпа ғылым сүйсеңіз.\nСізге ғылым кім берер,\nЖанбай жатып сөнсеңіз.\nДүние де өзі, мал да өзі, \nҒылымға көңіл берсеңіз. \nБілгендердің сөзіне \nМахаббатпен ерсеңіз.\nАқыл сенбей сенбеңіз,\nБір іске кез келсеңіз.\nАқсақал айтты, бай айтты,\nКім болса мейлі, сол айтты — \nАқылменен жеңсеңіз — \nНадандарға бой берме,\nШын сөзбенен өлсеңіз.\n\nАят, хадис емес қой,\nКәпірболдың демес қой, \nҚанша қарсы келсеңіз. \nКөп орнында көріне айтпа, \nБіздің сөзге ерсеңіз.\nМұны жазған кісінің \nАтын білме,сөзін біл!\nОсы жалған дүниеден \nШешен де өткен не бұлбұл, \nКөсем де өткен не дүлдүл.\nСөз мәнісінбілсеңіз,\nАқыл — мизан , өлшеу қыл. \nЕгер қисық көрінсе,\nМейлің таста, мейлің күл.\nЕгер түзу көрінсе:\nОйлап-ойлап, құлаққа іл. \nАқымақ көп, ақылды аз,\nДеме көптің сөзі — пұл. \nЖақынның сөзі тәтті деп, \nЖақыным айтты дей көрме. \nНадандықпен кім айтса,\nОндай түпсіз сөзге ерме.\nСізге айтамын, хаупім — бұл.\nӨзің үшін үйренсең, \nЖамандықтан жиренсең, \nАшыларсың жылма-жыл.\nБіреу үшін үйренсең,\nБіреу білмес, сен білсең, \nБілгеніңнің бәрі– тұл.\nСөзіне қарай кісіні ал,\nКісіге қарап сөз алма\nШын сөз қайсы біле алмай, \nӘр нәрседен құр қалма.\nМұны жазған білген құл –\nҒұламаи Дауани,\nСолай депті ол шыншыл. \nСөзін оқып және ойла,\nТез үйреніп, тез жойма,\nЖас уақытта көңіл — гүл."
1886,Жаз,"Жаздыгүн шілде болғанда,\nКөкорай шалғын, бәйшешек, \nҰзарып өсіп толғанда;\nКүркіреп жатқан өзенге\nКөшіп ауыл қонғанда; \nШұрқырап жатқан жылқының \nШалғыннан жоны қылтылдап, \nАт, айғырлар, биелер \nБүйірі шығып, ыңқылдап,\nСуда тұрып шыбындап, \nҚұйрығымен шылпылдап, \nАрасында құлын-тай \nАйнала шауып бұлтылдап. \nЖоғары-төмен үйрек, қаз \nҰшып тұрса сымпылдап. \nҚыз-келіншек үй тігер,\nБұрала басып былқылдап,\nАқ білегін сыбанып,\nӘзілдесіп сыңқылдап.\nМал ішінен айналып,\nКөңілі жақсы жайланып,\nБай да келер ауылға,\nАяңшылы жылпылдап;\nСабадан қымыз құйдырып, \nОртасына қойдырып,\nЖасы үлкендер бір бөлек \nКеңесіп, күліп сылқылдап. \nЖалшы алдаған жас бала, \nЖағалайды шешесін \nЕт әпер деп қыңқылдап. \nКөлеңке қылып басына,\nКілем төсеп астына,\nСалтанатты байлардың \nСамаурыны бұрқылдап. \nБілімділер сөз айтса,\nБәйгі атындай аңқылдап, \nӨзгелер басын изейді,\nӘрине деп мақұлдап.\nАқ көйлекті, таяқты \nАқсақал шығар бір шеттен \nМалыңды әрі қайтар деп, \nМалшыларға қаңқылдап. \nБай байғұсым десін деп,\nШақырып қымыз берсін деп, \nЖарамсақсып, жалпылдап. \nШапандарын белсенген,\nАсау мініп теңселген \nЖылқышылар кеп тұрса, \nТаңертеңнен салпылдап. \nМылтық атқан, құс салған. \nЖас бозбала бір бөлек \nСу жағалап қутыңдап. \nҚайырып салған көк құсы \nКөтеріле бергенде,\nҚаз сыпырса жарқылдап. \nӨткен күннің бәрі ұмыт, \nҚолдан келер қайрат жоқ,\nБағанағы байғұс шал \nАуылда тұрып күледі, \nҚошемет қылып қарқылдап."
1886,"Жігіттер, ойын арзан, күлкі қымбат","Жігіттер, ойын арзан, күлкі қымбат, \nЕкі түрлі нәрсе ғой сыр мен сымбат. \nАрзан, жалған күлмейтін, шын күлерлік \nЕр табылса жарайды, қылса сұхбат.\n\nКейбіреу тыңдар үйден шыққанынша, \nКейбіреу қояр көңіл ұққанынша.\nСөз мәнісін білерлік біреулер бар, \nАбайлар, әрбір сөзді өз халынша.\n\nШын көңілмен сүйсе екен, кімді сүйсе, \nБір сөзімен тұрса екен, жанса-күйсе. \nҚырмызы, қызыл жібек бозбалалар,\nОңғақ бұлша былғайды, бір дым тисе.\n\nКерек іс бозбалаға — талаптылық,\nӘртүрлі өнер, мінез, жақсы қылық. \nКейбір жігіт жүреді мақтан күйлеп, \nСыртқа пысық келеді, көзге сынық.\n\nКемді күн қызық дәурен тату өткіз, \nЖетпесе, біріңдікін бірің жеткіз! \nКүншілдіксіз тату бол шын көңілмен, \nҚиянатшыл болмақты естен кеткіз!\n\nБір жерде бірге жүрсең басың қосып, \nБіріңнің бірің сөйле сөзің тосып.\nБіріңді бірің ғиззәт , құрмет қылыс, \nТұрғандай бейне қорқып, жаның шошып.\n\nЖолдастық, сұхбаттастық — бір үлкен іс, \nОның қадірін жетесіз адам білмес.\nСүйікті ер білген сырын сыртқа жаймас, \nАртыңнан бір ауыз сөз айтып күлмес.\n\nКүйлеме жігітпін деп үнемі ойнас, \nСалынсаң, салдуарлық қадір қоймас.\nЕр жігіт таңдап тауып, еппен жүрсін, \nТөбетке өлекшінніңбәрі бір бәс.\n\nБіреуді көркі бар деп жақсы көрме, \nЛапылдақ көрсеқызар нәпсіге ерме!\nӘйел жақсы болмайды көркіменен,\nМінезіне көз жетпей, көңіл берме!\n\nКөп жүрмес жеңсікқойлық, тез-ақ тозар, \nЖаңғырар жеңсікқұмар, жатқа қозар.\nКүнде көрген бір беттен көңіл қайтар,\nҚылт еткізбес қылықты тамыршы озар.\n\nТолқынын жүрегіңнің хаттай таныр,\nБүлк еткізбес қалайша соқса тамыр.\nЖар көңліне бір жанын пида қылып, \nБілместігің бар болса, қылар сабыр.\n\nШу дегенде көрінер сұлу артық,\nКөбі көпшіл келеді ондай қаншық.\nБетім барда бетіме кім шыдар деп,\nКімі паңдау келеді, кімі тантық.\n\nАқыл керек, ес керек, мінез керек,\nЕр ұялар іс қылмас қатын зерек.\nСалақ, олақ, ойнасшы, керім-кербез, \nЖыртаң-тыртаң қызылдан шығады ерек.\n\nҚатының сені сүйсе, сен де оны сүй, \nҚоржаң суық келеді кей сасық ми.\nЕрі ақылды, қатыны мінезді боп,\nТату болса, раисүстіндегі үй.\n\nЖоқ болса қатыныңның жат өсегі,\nБолмаса мінезінің еш кесегі.\nМайысқан, бейне гүлдей толықсыған,\nКем емес алтын тақтан жар төсегі.\n\nЖасаулы деп, малды деп байдан алма, \nКедей қызы арзан деп құмарланба.\nАры бар, ақылы бар, ұяты бар\nАта-ананың қызынан ғапыл қалма.\n\nҮйіңе тату құрбың келсе кіріп,\nСазданбасын қабақпен имендіріп.\nЕрі сүйген кісіні о да сүйіп, \nҚызмет қылсын көңілі таза жүріп.\n\nҚұрбыңның тәуір болсын өз мінезі, \nАбыройлы қалжыңмен келсін сөзі.\nСен оған мойын бұрып сөз айтқанда, \nҚатыныңда болмасын оның көзі.\n\nКей құрбы бүгін тату, ертең бату, \nТілеуі, жақындығы — бәрі сату. \nКөкірегінде қаяу жоқ, қиянат жоқ, \nҚажымас, қайта айнымас, қайран тату!\n\nПайда деп, мал деп туар ендігі жас, \nЕңбекпен терін сатып түзден жимас. \nМелішсауда сықылды күлкі сатып, \nАлса қоймас, араны тағы тоймас.\n\nАсық ұтыс сықылды алыс-беріс –\nТірі жанның қылғаны бүгін тегіс.\nБірі көйткеталасып, бірі арам қып, \nТөбелескен, дауласқан жанжал-керіс.\n\nЖас бала әуел тату бола қалар, \nАта-анадан жақын боп, ертіп алар. \nБірін бірі құшақтап шуылдасып,\nОйын тарқар кезінде ұрыс салар.\n\nБіреуі жылап барса үйге таман, \nАта-анасы бұрқылдар онан жаман. \nТатулығы құрысын ойыны мен\nДәл соларға ұқсайды мына заман.\n\nЖаман тату қазады өзіңе ор,\nОған сенсең, бір күні боларсың қор. \nАры бар, ұяты бар үлкенге сен,\nӨзі зордың болады ығы да зор.\n\nҚазақтың қайсысының бар санасы?\nҚылт етерде дап-дайын бір жаласы.\nПысықтықтың белгісі — арыз беру,\nЖоқ тұрса бес бересі, алты аласы."
1886,Интернатта оқып жүр,"Интернатта оқып жүр\nТалай қазақ баласы –\nЖаңа өспірім, көкөрім,\nБейне қолдың саласы.\nБалам закон білді деп,\nҚуанар ата-анасы,\nОйында жоқ олардың \nШариғатқа шаласы.\nОрыс тілі, жазуы –\nБілсем деген таласы. \nПрошениежазуға,\nТырысар келсе шамасы. \nЫнсапсызға не керек\nІстің ақ пен қарасы?\nНан таппаймыз демейді, \nБүлінсе елдің арасы. \nИждиһатсыз , михнатсыз \nТабылмас ғылым сарасы.\nАз білгенін көпсінсе,\nКөп қазаққа епсінсе,\nКімге тиер панасы?\nОрыс теріс айтпайды,\nЖаман бол деп оларды.\nҚаны бұзық өзі ойлар \nҚу менен сұм боларды, \nОрыста қалар жаласы.\nБұл іске кім виноват– \nЯ, Семейдің қаласы.\nЯ, қазақтың баласы.\nОйында жоқ бірінің\nСалтыков пен Толстой,\nЯ тілмаш, я адвокат \nБолсам деген бәрінде ой, \nКөңілінде жоқ санасы.\nАқылы кімнің бар болса, \nДемес мұны тілі ащы. \nАйтыңызшы, болсаңыз\nЗдравомыслящий ,\nАқыл айтпай ма ағасы?\nПайда ойлама, ар ойла, \nТалап қыл артық білуге. \nАртық ғылым кітапта, \nЕрінбей оқып көруге. \nВоенныйқызмет іздеме, \nОқалы киім киюге.\nБос мақтанға салынып, \nБекер көкірек керуге. \nҚызмет қылма оязға, \nЖанбай жатып сөнуге. \nҚалай сабыр қыласың, \nЖазықсыз күнде сөгуге. \nӨнерсіздің қылығы — \nТура сөзін айта алмай,\nҚит етуге бата алмай, \nҚорлықпенен шіруге.\nАз ақшаға жалданып,\nӨнбес іске алданып,\nЖол таба алмай жүруге. \nАлыс та болса іздеп тап, \nКореннойғакіруге, \n«Талапты ерге нұр жауар», \nЖүріп өмір сүруге.\nЯ байларға қызмет қыл!\nЕрінбей шауып желуге. \nАдал жүріп, адал тұр, \nСчетың тура келуге. \nЖаныңа жақса, соңынан \nЖалқауланба еруге.\nҚисық болса, закон бар \nСудьяға беруге.\nОл да оязной емес қой, \nАлуға теңдік сенуге.\nИә өз бетіңнен тәуекел, \nЗанимайся прямотой .\nЖеңіл көрме, бек керек \nОған да ғылым, оған да ой, \nҚалайынша қайда енуге."
1886,Көжекбайға,"Жамантайдың баласы Көжек деген,\nӘркімге өсек тасып безектеген.\nДосын келіп досына жамандайды, \nШіркінде ес болсайшы сезед деген."
1886,Көкбайға,"Сорлы Көкбай жылайды,\nЖылайды да жырлайды.\nОл жыламай қайтіп тұрады, \nМынау азған қу заман \nҚалыбында тұрмайды.\nБіреу малды ұрлайды,\nБіреу басты қорлайды, \n…болмаған соң \nЖылауына зорлайды."
